,Retrieve_date,VM_serial,Code,Description,Values
84,2019-12-03 13:11:55,1190466,CA101,Coin Mechanism Serial Number,3
85,2019-12-03 13:11:55,1190466,CA102,Coin Mechanism Model Number,50
86,2019-12-03 13:11:55,1190466,CA103,Coin Mechanism Software Revision,0
87,2019-12-03 13:11:55,1190466,CA104,,0
88,2019-12-03 13:11:55,1190466,CA105,,0
89,2019-12-03 13:11:55,1190466,CA101,Coin Mechanism Serial Number,4
90,2019-12-03 13:11:55,1190466,CA102,Coin Mechanism Model Number,50
91,2019-12-03 13:11:55,1190466,CA103,Coin Mechanism Software Revision,0
92,2019-12-03 13:11:55,1190466,CA104,,0
93,2019-12-03 13:11:55,1190466,CA105,,1064
94,2019-12-03 13:11:55,1190466,CA101,Coin Mechanism Serial Number,5
95,2019-12-03 13:11:55,1190466,CA102,Coin Mechanism Model Number,100
96,2019-12-03 13:11:55,1190466,CA103,Coin Mechanism Software Revision,0
97,2019-12-03 13:11:55,1190466,CA104,,0
98,2019-12-03 13:11:55,1190466,CA105,,0
99,2019-12-03 13:11:55,1190466,CA101,Coin Mechanism Serial Number,6
100,2019-12-03 13:11:55,1190466,CA102,Coin Mechanism Model Number,100
101,2019-12-03 13:11:55,1190466,CA103,Coin Mechanism Software Revision,0
102,2019-12-03 13:11:55,1190466,CA104,,0
103,2019-12-03 13:11:55,1190466,CA105,,574
104,2019-12-03 13:11:55,1190466,DA201,Value of Cashless 1 Sales Since Initiatlisation,0
105,2019-12-03 13:11:55,1190466,DA202,Number Of Cashless 1 Vends Since Initialisation,0
106,2019-12-03 13:11:55,1190466,DA203,Value of Cashless 1 Sales Since Last Reset,0
107,2019-12-03 13:11:55,1190466,DA204,Number of Cashless 1 Vends Since Last Reset,0
108,2019-12-03 13:11:55,1190466,DA401,Value Credited To Cashless 1 Since Initialisation,1158660
109,2019-12-03 13:11:55,1190466,DA402,Value Credited To Cashless 1 Since Last Reset,0
110,2019-12-03 13:11:55,1190466,DA501,Value of Cashless 1 Discounts Since Last Reset,0
111,2019-12-03 13:11:55,1190466,DA502,Number Of Discount Cashless 1 Vends Since Last Reset,0
112,2019-12-03 13:11:55,1190466,DA503,Value Of Cashless 1 Discounts Since Initialisation,0
113,2019-12-03 13:11:55,1190466,DA504,Number Of Discount Cashless 1 Vends Since Initialisation,917610
114,2019-12-03 13:11:55,1190466,DA505,Value of Cashless 1 Surcharges Since Last Reset,0
115,2019-12-03 13:11:55,1190466,DA507,Value Of Cashless 1 Surcharges Since Initialisation,0
