,Retrieve_date,File_name,VM_serial,Code,Description,Values
0,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID101,Machine Serial Number,NEC01190369
1,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID102,Machine Model Number,CONCERTO
2,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID106,Machine Asset Number,01190369
3,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID401,Decimal Point Position,0
4,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID501,System Date,191228
5,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,ID502,System Time,213342
6,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,CB103,Control Board Software Revision,1.6
7,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA101,All Paid Vends Cumulative Sales Value,0
8,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA102,All Paid Vends Cumulative Item Counts,6695
9,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA103,All Paid Vends Interval Period Sales Value,0
10,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA104,All Paid Vends Interval Period Item Counts,907
11,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA201,Test Vends Cumulative Sales Value,25
12,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA202,Test Vends Cumulative Item Counts,5
13,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA203,Test Vends Interval Period Sales Value,0
14,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA204,Test Vends Interval Period Item Counts,0
15,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA301,Free Vends Cumulative Sales Value,17078
16,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA302,Free Vends Cumulative Item Counts,8510
17,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA303,Free Vends Interval Period Sales Value,1275
18,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,VA304,Free Vends Interval Period Item Counts,1275
19,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,CA201,Value of Cash Sales Since Initialisation,0
20,2019-12-30 14:07:17,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230140739.daa,1190369,CA202,Number of Cash Vends Since Initialisation,0
