,Retrieve_date,File_name,VM_serial,Code,Description,Values
0,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,ID101,Machine Serial Number,NEC01190360
1,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,ID102,Machine Model Number,KIKKO IFE
2,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,ID107,,6.00
3,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,ID108,,01
4,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA101,All Paid Vends Cumulative Sales Value,0
5,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA102,All Paid Vends Cumulative Item Counts,12862
6,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA103,All Paid Vends Interval Period Sales Value,0
7,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA104,All Paid Vends Interval Period Item Counts,226
8,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA202,Test Vends Cumulative Item Counts,225
9,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA204,Test Vends Interval Period Item Counts,0
10,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA302,Free Vends Cumulative Item Counts,11424
11,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,VA304,Free Vends Interval Period Item Counts,1664
12,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,CA302,Value of Cash To Cash Box Since Last Reset,0
13,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,CA303,Value of Cash to Tubes Since Last Reset,0
14,2019-12-30 14:49:06,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc54601_20191230144918.daa,1190360,CA304,Value of Bills In Since Last Reset,0
