,Retrieve_date,File_name,VM_serial,Code,Description,Values
30,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA308,Value of Bills In Since Initialisation,0
31,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA309,Value of Bills In Since Last Reset,0
32,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA311,,0
33,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA401,Value of Cash Dispensed Since Last Reset,0
34,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA402,Value of Cash Manually Dispensed Since Last Reset,0
35,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA403,Value of Cash Dispensed Since Initialisation,0
36,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA404,Value of Cash Manually Dispensed Since Initiatlisation,0
37,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA701,Value of Cash Discounts Since Last Reset,0
38,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA702,Value of Cash Discounts Since Initialisation,0
39,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA801,Value of Cash Overpay Since Last Reset,0
40,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA802,Value of Cash Overpay Since Initialisation,0
41,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA1001,Value of Cash Filled Since Last Reset,0
42,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA1002,Value of Cash Filled Since Initialisation,0
43,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,CA1501,Value of Tube Contents,0
44,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA201,Value of Cashless 1 Sales Since Initiatlisation,0
45,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA202,Number Of Cashless 1 Vends Since Initialisation,0
46,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA203,Value of Cashless 1 Sales Since Last Reset,0
47,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA204,Number of Cashless 1 Vends Since Last Reset,0
48,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA401,Value Credited To Cashless 1 Since Initialisation,0
49,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA402,Value Credited To Cashless 1 Since Last Reset,0
50,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA501,Value of Cashless 1 Discounts Since Last Reset,0
51,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA502,Number Of Discount Cashless 1 Vends Since Last Reset,0
52,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA503,Value Of Cashless 1 Discounts Since Initialisation,0
53,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA504,Number Of Discount Cashless 1 Vends Since Initialisation,0
54,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA505,Value of Cashless 1 Surcharges Since Last Reset,0
55,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA507,Value Of Cashless 1 Surcharges Since Initialisation,0
56,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA701,Cashless 1 User Group Number,1
57,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA702,Cashless 1 User Group Net Sales since last reset.,0
58,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA705,Number of products sold to Cashless 1 user group since initialisation,0
59,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA706,Number of products sold to Cashless 1 user group since last reset,0
60,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA707,Cashless 1 User Group Net Sales since initialization ,0
61,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA701,Cashless 1 User Group Number,2
62,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA702,Cashless 1 User Group Net Sales since last reset.,0
63,2019-12-03 11:44:44,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203114505.daa,1190468,DA705,Number of products sold to Cashless 1 user group since initialisation,0
