,Retrieve_date,VM_serial,Code,Description,Values
0,2019-12-06 09:47:51,1190392,ID101,Machine Serial Number,NEC01190392
1,2019-12-06 09:47:51,1190392,ID102,Machine Model Number,CONCERTO
2,2019-12-06 09:47:51,1190392,ID106,Machine Asset Number,01190392
3,2019-12-06 09:47:51,1190392,ID401,Decimal Point Position,0
4,2019-12-06 09:47:51,1190392,ID501,System Date,191206
5,2019-12-06 09:47:51,1190392,ID502,System Time,093715
6,2019-12-06 09:47:51,1190392,CB103,Control Board Software Revision,1.6
7,2019-12-06 09:47:51,1190392,VA101,All Paid Vends Cumulative Sales Value,0
8,2019-12-06 09:47:51,1190392,VA102,All Paid Vends Cumulative Item Counts,172493
9,2019-12-06 09:47:51,1190392,VA103,All Paid Vends Interval Period Sales Value,0
10,2019-12-06 09:47:51,1190392,VA104,All Paid Vends Interval Period Item Counts,193
11,2019-12-06 09:47:51,1190392,VA201,Test Vends Cumulative Sales Value,90
12,2019-12-06 09:47:51,1190392,VA202,Test Vends Cumulative Item Counts,35
13,2019-12-06 09:47:51,1190392,VA203,Test Vends Interval Period Sales Value,0
14,2019-12-06 09:47:51,1190392,VA204,Test Vends Interval Period Item Counts,0
15,2019-12-06 09:47:51,1190392,VA301,Free Vends Cumulative Sales Value,2521
16,2019-12-06 09:47:51,1190392,VA302,Free Vends Cumulative Item Counts,1085
17,2019-12-06 09:47:51,1190392,VA303,Free Vends Interval Period Sales Value,89
18,2019-12-06 09:47:51,1190392,VA304,Free Vends Interval Period Item Counts,89
19,2019-12-06 09:47:51,1190392,CA201,Value of Cash Sales Since Initialisation,0
20,2019-12-06 09:47:51,1190392,CA202,Number of Cash Vends Since Initialisation,0
21,2019-12-06 09:47:51,1190392,CA203,Value of Cash Sales Since Last Reset,0
22,2019-12-06 09:47:51,1190392,CA204,Number of Cash Vends Since Last Reset,0
23,2019-12-06 09:47:51,1190392,CA301,Value of Cash In Since Last Reset,0
24,2019-12-06 09:47:51,1190392,CA302,Value of Cash To Cash Box Since Last Reset,0
25,2019-12-06 09:47:51,1190392,CA303,Value of Cash to Tubes Since Last Reset,0
26,2019-12-06 09:47:51,1190392,CA304,Value of Bills In Since Last Reset,0
27,2019-12-06 09:47:51,1190392,CA305,Value of Cash In Since Initialisation,0
28,2019-12-06 09:47:51,1190392,CA306,Value of Cash To Cash Box Since Initialisation,0
29,2019-12-06 09:47:51,1190392,CA307,Value of Cash To Tubes Since Initilisation,0
30,2019-12-06 09:47:51,1190392,CA308,Value of Bills In Since Initialisation,0
31,2019-12-06 09:47:51,1190392,CA309,Value of Bills In Since Last Reset,0
32,2019-12-06 09:47:51,1190392,CA310,Value of Bills In Since Initialisation,0
33,2019-12-06 09:47:51,1190392,CA401,Value of Cash Dispensed Since Last Reset,0
34,2019-12-06 09:47:51,1190392,CA402,Value of Cash Manually Dispensed Since Last Reset,0
35,2019-12-06 09:47:51,1190392,CA403,Value of Cash Dispensed Since Initialisation,0
36,2019-12-06 09:47:51,1190392,CA404,Value of Cash Manually Dispensed Since Initiatlisation,0
37,2019-12-06 09:47:51,1190392,CA701,Value of Cash Discounts Since Last Reset,0
38,2019-12-06 09:47:51,1190392,CA702,Value of Cash Discounts Since Initialisation,0
39,2019-12-06 09:47:51,1190392,CA801,Value of Cash Overpay Since Last Reset,0
40,2019-12-06 09:47:51,1190392,CA802,Value of Cash Overpay Since Initialisation,0
41,2019-12-06 09:47:51,1190392,CA101,Coin Mechanism Serial Number,0
42,2019-12-06 09:47:51,1190392,CA102,Coin Mechanism Model Number,0
43,2019-12-06 09:47:51,1190392,CA101,Coin Mechanism Serial Number,0
44,2019-12-06 09:47:51,1190392,DA201,Value of Cashless 1 Sales Since Initiatlisation,0
45,2019-12-06 09:47:51,1190392,DA202,Number Of Cashless 1 Vends Since Initialisation,0
46,2019-12-06 09:47:51,1190392,DA203,Value of Cashless 1 Sales Since Last Reset,0
47,2019-12-06 09:47:51,1190392,DA204,Number of Cashless 1 Vends Since Last Reset,0
48,2019-12-06 09:47:51,1190392,DA401,Value Credited To Cashless 1 Since Initialisation,0
49,2019-12-06 09:47:51,1190392,DA402,Value Credited To Cashless 1 Since Last Reset,0
50,2019-12-06 09:47:51,1190392,DA501,Value of Cashless 1 Discounts Since Last Reset,0
51,2019-12-06 09:47:51,1190392,DA502,Number Of Discount Cashless 1 Vends Since Last Reset,0
52,2019-12-06 09:47:51,1190392,DA503,Value Of Cashless 1 Discounts Since Initialisation,0
53,2019-12-06 09:47:51,1190392,DA504,Number Of Discount Cashless 1 Vends Since Initialisation,0
54,2019-12-06 09:47:51,1190392,DA505,Value of Cashless 1 Surcharges Since Last Reset,0
55,2019-12-06 09:47:51,1190392,DA507,Value Of Cashless 1 Surcharges Since Initialisation,0
56,2019-12-06 09:47:51,1190392,DA701,Cashless 1 User Group Number,1
57,2019-12-06 09:47:51,1190392,DA702,Cashless 1 User Group Net Sales since last reset.,0
58,2019-12-06 09:47:51,1190392,DA705,Number of products sold to Cashless 1 user group since initialisation,0
59,2019-12-06 09:47:51,1190392,DA706,Number of products sold to Cashless 1 user group since last reset,0
60,2019-12-06 09:47:51,1190392,DA707,Cashless 1 User Group Net Sales since initialization ,0
61,2019-12-06 09:47:51,1190392,DA701,Cashless 1 User Group Number,2
62,2019-12-06 09:47:51,1190392,DA702,Cashless 1 User Group Net Sales since last reset.,0
63,2019-12-06 09:47:51,1190392,DA705,Number of products sold to Cashless 1 user group since initialisation,0
64,2019-12-06 09:47:51,1190392,DA706,Number of products sold to Cashless 1 user group since last reset,0
65,2019-12-06 09:47:51,1190392,DA707,Cashless 1 User Group Net Sales since initialization ,0
66,2019-12-06 09:47:51,1190392,DA701,Cashless 1 User Group Number,3
67,2019-12-06 09:47:51,1190392,DA702,Cashless 1 User Group Net Sales since last reset.,0
68,2019-12-06 09:47:51,1190392,DA705,Number of products sold to Cashless 1 user group since initialisation,0
69,2019-12-06 09:47:51,1190392,DA706,Number of products sold to Cashless 1 user group since last reset,0
70,2019-12-06 09:47:51,1190392,DA707,Cashless 1 User Group Net Sales since initialization ,0
71,2019-12-06 09:47:51,1190392,DA701,Cashless 1 User Group Number,4
72,2019-12-06 09:47:51,1190392,DA702,Cashless 1 User Group Net Sales since last reset.,0
73,2019-12-06 09:47:51,1190392,DA705,Number of products sold to Cashless 1 user group since initialisation,0
74,2019-12-06 09:47:51,1190392,DA706,Number of products sold to Cashless 1 user group since last reset,0
75,2019-12-06 09:47:51,1190392,DA707,Cashless 1 User Group Net Sales since initialization ,0
76,2019-12-06 09:47:51,1190392,DA701,Cashless 1 User Group Number,5
77,2019-12-06 09:47:51,1190392,DA702,Cashless 1 User Group Net Sales since last reset.,0
78,2019-12-06 09:47:51,1190392,DA705,Number of products sold to Cashless 1 user group since initialisation,0
79,2019-12-06 09:47:51,1190392,DA706,Number of products sold to Cashless 1 user group since last reset,0
80,2019-12-06 09:47:51,1190392,DA707,Cashless 1 User Group Net Sales since initialization ,0
81,2019-12-06 09:47:51,1190392,DB201,Value of Cashless 2 Sales Since Initiatlisation,0
82,2019-12-06 09:47:51,1190392,DB202,Number Of Cashless 2 Vends Since Initialisation,0
83,2019-12-06 09:47:51,1190392,DB203,Value of Cashless 2 Sales Since Last Reset,0
84,2019-12-06 09:47:51,1190392,DB204,Number of Cashless 2 Vends Since Last Reset,0
85,2019-12-06 09:47:51,1190392,DB401,Value Credited To Cashless 2 Since Initialisation,0
86,2019-12-06 09:47:51,1190392,DB402,Value Credited To Cashless 2 Since Last Reset,0
87,2019-12-06 09:47:51,1190392,DB501,Value of Cashless 2 Discounts Since Last Reset,0
88,2019-12-06 09:47:51,1190392,DB502,Number Of Discount Cashless 2 Vends Since Last Reset,0
89,2019-12-06 09:47:51,1190392,DB503,Value Of Cashless 2 Discounts Since Initialisation,0
90,2019-12-06 09:47:51,1190392,DB504,Number Of Discount Cashless 2 Vends Since Initialisation,0
91,2019-12-06 09:47:51,1190392,DB505,Value of Cashless 2 Surcharges Since Last Reset,0
92,2019-12-06 09:47:51,1190392,DB507,Value Of Cashless 2 Surcharges Since Initialisation,0
93,2019-12-06 09:47:51,1190392,TA201,Value of Vend Token Vends Since Initialisation,0
94,2019-12-06 09:47:51,1190392,TA202,No. of Vend Token Vends Since Initialisation,0
95,2019-12-06 09:47:51,1190392,TA203,Value of Vend Token Sales Since Last Reset,0
96,2019-12-06 09:47:51,1190392,TA204,No. of Vend Token Sales Since Last Reset,0
97,2019-12-06 09:47:51,1190392,TA205,Value of Value Token Since Initialisation,0
98,2019-12-06 09:47:51,1190392,TA206,No. of  Value Token Since Initialisation,0
99,2019-12-06 09:47:51,1190392,TA207,Value of Value Token Sales Since Last Reset,0
100,2019-12-06 09:47:51,1190392,TA208,No. of Value Token Vends Since Last Reset,0
101,2019-12-06 09:47:51,1190392,TA301,Value of Value Tokens In Since Last Reset,0
102,2019-12-06 09:47:51,1190392,TA302,Value of Value Tokens In Since Initialisation,0
103,2019-12-06 09:47:51,1190392,TA501,Value of Token Overpay Since Last Reset,0
104,2019-12-06 09:47:51,1190392,TA502,Value of Token Overpay Since Initialisation,0
105,2019-12-06 09:47:51,1190392,TA701,Token Value,0
106,2019-12-06 09:47:51,1190392,TA702,Number of Tokens In Since Last Reset,0
107,2019-12-06 09:47:51,1190392,TA705,No. of Tokens In Since Initialisation,0
108,2019-12-06 09:47:51,1190392,TA701,Token Value,0
109,2019-12-06 09:47:51,1190392,TA702,Number of Tokens In Since Last Reset,0
110,2019-12-06 09:47:51,1190392,TA705,No. of Tokens In Since Initialisation,0
111,2019-12-06 09:47:51,1190392,TA701,Token Value,0
112,2019-12-06 09:47:51,1190392,TA702,Number of Tokens In Since Last Reset,0
113,2019-12-06 09:47:51,1190392,TA705,No. of Tokens In Since Initialisation,0
114,2019-12-06 09:47:51,1190392,TA101,,1
115,2019-12-06 09:47:51,1190392,TA102,,0
116,2019-12-06 09:47:51,1190392,TA101,,2
117,2019-12-06 09:47:51,1190392,TA102,,0
118,2019-12-06 09:47:51,1190392,TA101,,3
119,2019-12-06 09:47:51,1190392,TA102,,0
120,2019-12-06 09:47:51,1190392,EA101,Event Identification,EDI_5
121,2019-12-06 09:47:51,1190392,EA102,Data of Event Occurance,191015
122,2019-12-06 09:47:51,1190392,EA103,Time of Event Occurance,164917
123,2019-12-06 09:47:51,1190392,EA201,Event Identification,EDI_5
124,2019-12-06 09:47:51,1190392,EA205,Event Activity,0
125,2019-12-06 09:47:51,1190392,EA101,Event Identification,EDI_1
126,2019-12-06 09:47:51,1190392,EA102,Data of Event Occurance,191016
127,2019-12-06 09:47:51,1190392,EA103,Time of Event Occurance,110136
128,2019-12-06 09:47:51,1190392,EA201,Event Identification,EDI_1
129,2019-12-06 09:47:51,1190392,EA205,Event Activity,0
130,2019-12-06 09:47:51,1190392,EA101,Event Identification,EDI_1
131,2019-12-06 09:47:51,1190392,EA102,Data of Event Occurance,191016
132,2019-12-06 09:47:51,1190392,EA103,Time of Event Occurance,152244
133,2019-12-06 09:47:51,1190392,EA201,Event Identification,EDI_1
134,2019-12-06 09:47:51,1190392,EA205,Event Activity,0
135,2019-12-06 09:47:51,1190392,EA101,Event Identification,EDI_1
136,2019-12-06 09:47:51,1190392,EA102,Data of Event Occurance,191018
137,2019-12-06 09:47:51,1190392,EA103,Time of Event Occurance,111815
138,2019-12-06 09:47:51,1190392,EA201,Event Identification,EDI_1
