,Retrieve_date,File_name,VM_serial,Code,Description,Values
0,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID101,Machine Serial Number,NEC01190470
1,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID102,Machine Model Number,CONCERTO
2,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID106,Machine Asset Number,01190470
3,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID401,Decimal Point Position,0
4,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID501,System Date,191203
5,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,ID502,System Time,093349
6,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CB103,Control Board Software Revision,1.2
7,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA101,All Paid Vends Cumulative Sales Value,1090980
8,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA102,All Paid Vends Cumulative Item Counts,29071
9,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA103,All Paid Vends Interval Period Sales Value,0
10,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA104,All Paid Vends Interval Period Item Counts,99
11,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA201,Test Vends Cumulative Sales Value,431
12,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA202,Test Vends Cumulative Item Counts,99
13,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA203,Test Vends Interval Period Sales Value,0
14,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA204,Test Vends Interval Period Item Counts,0
15,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA301,Free Vends Cumulative Sales Value,4941
16,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA302,Free Vends Cumulative Item Counts,4885
17,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA303,Free Vends Interval Period Sales Value,125
18,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,VA304,Free Vends Interval Period Item Counts,125
19,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA201,Value of Cash Sales Since Initialisation,1090980
20,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA202,Number of Cash Vends Since Initialisation,23764
21,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA203,Value of Cash Sales Since Last Reset,0
22,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA204,Number of Cash Vends Since Last Reset,0
23,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA301,Value of Cash In Since Last Reset,0
24,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA302,Value of Cash To Cash Box Since Last Reset,0
25,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA303,Value of Cash to Tubes Since Last Reset,0
26,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA304,Value of Bills In Since Last Reset,0
27,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA305,Value of Cash In Since Initialisation,1450150
28,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA306,Value of Cash To Cash Box Since Initialisation,602010
29,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA307,Value of Cash To Tubes Since Initilisation,848140
30,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA308,Value of Bills In Since Initialisation,0
31,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA309,Value of Bills In Since Last Reset,0
32,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA311,,0
33,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA401,Value of Cash Dispensed Since Last Reset,0
34,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA402,Value of Cash Manually Dispensed Since Last Reset,0
35,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA403,Value of Cash Dispensed Since Initialisation,358290
36,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA404,Value of Cash Manually Dispensed Since Initiatlisation,326600
37,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA701,Value of Cash Discounts Since Last Reset,0
38,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA702,Value of Cash Discounts Since Initialisation,0
39,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA801,Value of Cash Overpay Since Last Reset,0
40,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA802,Value of Cash Overpay Since Initialisation,520
41,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1001,Value of Cash Filled Since Last Reset,0
42,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1002,Value of Cash Filled Since Initialisation,0
43,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,10
44,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
45,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
46,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,15092
47,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,5045
48,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,20
49,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
50,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
51,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,18860
52,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,12989
53,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,50
54,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
55,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
56,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,2149
57,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,2149
58,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,50
59,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
60,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
61,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,7620
62,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,503
63,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,100
64,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
65,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
66,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,1170
67,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,1170
68,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1101,,100
69,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1102,,0
70,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1103,,0
71,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1105,,3168
72,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1106,,422
73,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1501,Value of Tube Contents,0
74,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1701,,1
75,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1702,,10
76,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1703,,0
77,2019-12-03 12:43:10,C:\Users\thiopcb\Documents\VSCodes\EVADTS_processing\sampledata\_N_W_BlueRed_Pc5461c_20191203124334.daa,1190470,CA1704,,0
